RepeatUnitSMILES,td_value
C[SiH](Nc1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)Nc1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,570
C[Si](C)(Nc1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)Nc1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,535
C[Si](C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,418
C[Si](C)(c1ccc(-c2ccc(Oc3ccc(C#N)c(C#N)c3)cc2)cc1)c1ccc(-c2ccc(Oc3ccc(C#N)c(C#N)c3)cc2)cc1,532
C[Si](C)(C#Cc1ccccc1)C#Cc1ccccc1,610.8
C[Si](C#Cc1ccccc1)(C#Cc1ccccc1)C#Cc1ccccc1,695
C(#Cc1ccc(Oc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,535
C#CCOc1ccc(Oc2cc(C)cc(C)c2)cc1,471
C#CCCOc1c(C)cccc1Cc1cccc(CC)c1O,430
C#Cc1cccc(N[SiH](C)Nc2cccc(C#C)c2)c1,632.4
C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#CB(C#Cc3cccc(C#C[Si](C)(C)C#Cc4cccc(C#C)c4)c3)C#Cc3cccc(C#C[Si](C)(C)C#Cc4cccc(C#C)c4)c3)c2)c1,620
C#Cc1cccc(C#C[Si](C#Cc2cccc(C#C)c2)(C#Cc2cccc(C#C)c2)C#Cc2cccc(C=C)c2)c1,654
C#Cc1ccc(Oc2ccc(C#C)cc2)cc1,460
C#Cc1cc(C#C)cc([SiH](C)c2ccccc2)c1,613
*Oc1cccc(Oc2ccc(Sc3ccc(*)cc3)cc2)c1C#N,460
*Oc1cccc(Oc2ccc(-c3nn(*)c(=O)c4ccccc34)cc2)c1C#N,534
*Oc1cccc(Oc2ccc(C(c3ccc(*)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1C#N,511.75
*Oc1cccc(O[Si](Cc2cccc(Oc3ccc(C4(c5ccc(*)cc5)c5ccccc5-c5ccccc54)cc3)c2C#N)(c2ccccc2)c2ccccc2)c1C#N,540
*Oc1cccc(*)c1,502.8
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1-c1cccc(C(F)(F)F)c1,552.2
*Oc1ccc(N2COc3ccc(C(=O)c4ccc5c(c4)CN(c4ccc(OCC#CC)cc4)CO5)cc3C2)cc1,401
*Oc1ccc(N2COc3c(ccc4c5c(ccc34)CN(c3ccc(OCC#CC#*)cc3)CO5)C2)cc1,379
