SMILES
Cl[Si]1(Cl)CCCC1
Cl[Si]1(Cl)CCCCC1
Cl[Si]1(Cl)CCC1
C=CC[Si](Cl)(Cl)C1=CC=CC=C1
Cl[Si]1(Cl)CC=CC1
CC[Si](Cl)(Cl)CC
C[Si](C)(Cl)Cl
CCC[Si](C)(Cl)Cl
C[Si](Cl)(Cl)CCC#N
C=C[Si](Cl)(Cl)CC
C[Si](Cl)(Cl)CCCC#N
COC(=O)CC[Si](C)(Cl)Cl
C=C[Si](Cl)(Cl)C=C
CC[Si](Cl)(Cl)C1=CC=CC=C1
Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1
C=CC[Si](C)(Cl)Cl
C=C[Si](C)(Cl)Cl
CC(C)(C)[Si](Cl)(Cl)C(C)(C)C
CC[Si](C)(Cl)Cl
CCC[Si](Cl)(Cl)CCC
C=CC[Si](Cl)(Cl)CC=C
CC(C)[Si](Cl)(Cl)C(C)C
CC(C)[Si](C)(Cl)Cl
C=C[Si](Cl)(Cl)C1=CC=CC=C1
C[Si](Cl)(Cl)CCC1=CC=CC=C1
Cl[Si](Cl)(C1CCCC1)C1CCCC1
C[Si](Cl)(Cl)C1=CC=CC=C1
Cl[Si](Cl)(CC1=CC=CC=C1)CC1=CC=CC=C1
Cl[Si]1(Cl)C=CCC1
CC(C[Si](C)(Cl)Cl)C1=CC=CC=C1
Cl[Si]1(Cl)C2=CC=CC=C2C2=CC=CC=C21
CC1=CC=C([Si](C)(Cl)Cl)C=C1
CC1=CC=C([Si](Cl)(Cl)C2=CC=CC=C2)C=C1
CC1=CC(C)=C([Si](C)(Cl)Cl)C(C)=C1
Cl[Si](Cl)(C1C=CC2=CC=CC=C21)C1C=CC2=CC=CC=C21
CC1=CC=CC=C1[Si](Cl)(Cl)C(C)C
C[Si](Cl)(Cl)CC1=CC=CC=C1
CC1=CC=C(C(C)[Si](C)(Cl)Cl)C=C1
C[Si](Cl)(Cl)C1CCCCC1
CC(C)(C)[Si](Cl)(Cl)C1=CC=CC=C1
C[Si](Cl)(Cl)C1CC2CCC1C2
?CC1=CC(=C(C(=C1)C)[Si](C2=C(C=C(C=C2C)C)C)(Cl)Cl)C?
CC1=CC=C([Si](Cl)(Cl)C2=CC=C(C)C=C2)C=C1
N#CCCC[Si](Cl)(Cl)C1=CC=CC=C1
CC1=CC=C(CC[Si](C)(Cl)Cl)C=C1
Cl[Si](Cl)(C1CCCCC1)C1CCCCC1
C[Si](Cl)(Cl)CCC1CC=CCC1
